id,pair_id,part_jp,part_en,movement_jp,movement_en,sub_movement,minValue,maxValue,unit,basicAxis,movingAxis,notes,imageName
1,1,"肩甲帯","shoulder_girdle","屈曲","flexion","",0,20,"°","両側の肩峰を結ぶ線","頭頂と肩峰を結ぶ線","背面から測定する. 脊柱が前後屈しないように注意する.","https://raw.githubusercontent.com/tomoda@tumh.ac.jp/rom-game-assets/main/ROM_pic/shoulder_girdle_flexion_extension.png"
2,1,"肩甲帯","shoulder_girdle","伸展","extension","",0,20,"°","両側の肩峰を結ぶ線","頭頂と肩峰を結ぶ線","背面から測定する. 脊柱が前後屈しないように注意する.","https://raw.githubusercontent.com/tomoda@tumh.ac.jp/rom-game-assets/main/ROM_pic/shoulder_girdle_flexion_extension.png"
3,2,"肩甲帯","shoulder_girdle","挙上","elevation","",0,20,"°","両側の肩峰を結ぶ線","肩峰と胸骨上縁を結ぶ線","背面から測定する. 脊柱が前後屈しないように注意する.","https://raw.githubusercontent.com/tomoda@tumh.ac.jp/rom-game-assets/main/ROM_pic/shoulder_girdle_elevation_depression.png"
4,2,"肩甲帯","shoulder_girdle","引き下げ","depression","(下制)",0,10,"°","両側の肩峰を結ぶ線","頭頂と肩峰を結ぶ線","背面から測定する. 脊柱が前後屈しないように注意する.","https://raw.githubusercontent.com/tomoda@tumh.ac.jp/rom-game-assets/main/ROM_pic/shoulder_girdle_elevation_depression.png"
5,3,"肩","shoulder","屈曲","flexion","(前方挙上)",0,180,"°","肩峰を通る床への垂直線（立位または座位）","上腕骨","体幹が動かないように固定する. (肩甲帯の動きを含む)","https://raw.githubusercontent.com/tomoda@tumh.ac.jp/rom-game-assets/main/ROM_pic/shoulder_flexion_extension.png"
6,3,"肩","shoulder","伸展","extension","(後方挙上)",0,50,"°","肩峰を通る床への垂直線（立位または座位）","上腕骨","体幹が動かないように固定する. (肩甲帯の動きを含む)","https://raw.githubusercontent.com/tomoda@tumh.ac.jp/rom-game-assets/main/ROM_pic/shoulder_flexion_extension.png"
7,4,"肩","shoulder","外転","abduction","(側方挙上)",0,180,"°","肩峰を通る床への垂直線（立位または座位）","上腕骨","体幹の側屈が起こらないように90°以上になったら前腕を回外することを原則とする. (肩甲帯の動きを含む)","https://raw.githubusercontent.com/tomoda@tumh.ac.jp/rom-game-assets/main/ROM_pic/shoulder_abduction_adduction.png"
8,4,"肩","shoulder","内転","adduction","",0,75,"°","肩峰を通る床への垂直線","上腕骨","20°または45°肩関節屈曲位で行う. 立位で行う. (肩甲帯の動きを含む, その他の検査法に基づく)","https://raw.githubusercontent.com/tomoda@tumh.ac.jp/rom-game-assets/main/ROM_pic/shoulder_abduction_adduction.png"
9,5,"肩","shoulder","外旋","external_rotation","",0,90,"°","肘を通る前額面への垂直線","尺骨","上腕を体幹に接して肘関節を前方に90°に屈曲した肢位で行う. 前腕は中間位とする. (肩甲帯の動きを含む)","https://raw.githubusercontent.com/tomoda@tumh.ac.jp/rom-game-assets/main/ROM_pic/shoulder_rotation.png"
10,5,"肩","shoulder","内旋","internal_rotation","",0,70,"°","肘を通る前額面への垂直線","尺骨","上腕を体幹に接して肘関節を前方に90°に屈曲した肢位で行う. 前腕は中間位とする. (肩甲帯の動きを含む)","https://raw.githubusercontent.com/tomoda@tumh.ac.jp/rom-game-assets/main/ROM_pic/shoulder_rotation.png"
